Date,Total
2020-04-03,56.0
2020-04-10,433.0
2020-04-17,3237.0
2020-04-24,8342.0
2020-05-01,15659.0
2020-05-08,22686.0
2020-05-15,28234.0
2020-05-22,33168.0
2020-05-29,38099.0
2020-06-05,42041.0
2020-06-12,44964.0
2020-06-19,49290.0
2020-06-26,51099.0
2020-07-03,52841.0
2020-07-10,53867.0
2020-07-17,55162.0
2020-07-24,57502.0
2020-07-31,60022.0
2020-08-07,63636.0
2020-08-14,67778.0
2020-08-21,72580.0
2020-08-28,76151.0
2020-09-04,80678.0
2020-09-11,85513.0
2020-09-18,90216.0
2020-09-25,95051.0
2020-10-02,99521.0
2020-10-09,104271.0
2020-10-17,109539.0
2020-10-23,114939.0
2020-10-30,121093.0
2020-11-06,128981.0
2020-11-13,138862.0
2020-11-20,152267.0
2020-11-25,165269.0
2020-12-04,197750.0
2020-12-11,236369.0
2020-12-18,284731.0
2020-12-23,318389.0
2020-12-30,363611.0
2021-08-09,415079.0
2021-08-11,415079.0
2021-08-12,415079.0
2021-08-13,415079.0
2021-08-14,415079.0
2021-08-15,415079.0
2021-01-15,442408.0
2021-01-22,463106.0
2021-01-29,481801.0
2021-02-05,498495.0
2021-02-12,517991.0
2021-02-19,529080.0
2021-02-26,541258.0
2021-03-05,549881.0
2021-03-12,556697.0
2021-03-19,562775.0
2021-03-26,569460.0
2021-04-02,577141.0
2021-04-09,587283.0
2021-04-16,603094.0
2021-04-24,626254.0
2021-04-30,660124.0
2021-05-07,703746.0
2021-05-14,755119.0
2021-05-21,791206.0
2021-05-28,818165.0
2021-06-05,837864.0
2021-06-11,852204.0
2021-06-18,860080.0
2021-06-25,865577.0
2021-07-02,868294.0
2021-07-09,870140.0
2021-07-16,871402.0
2021-07-27,872163.0
2021-08-03,872992.0
2021-08-20,878031.0
